age,gender,race_ethnicity,household_income,education,n
18,male,white,"100,000 to 149,999",associate degree,1
18,male,white,"100,000 to 149,999",highschool or less,1
18,male,white,"150,000 or more",associate degree,1
18,male,white,"150,000 or more",highschool or less,1
18,male,white,"25,000 to 49,999",associate degree,1
18,male,white,"25,000 to 49,999",highschool or less,1
18,male,white,"50,000 to 99,999",associate degree,1
18,male,white,"50,000 to 99,999",highschool or less,1
18,male,white,"less than 25,000",associate degree,1
18,male,white,"less than 25,000",highschool or less,1
18,male,black/african american/negro,"150,000 or more",highschool or less,1
18,male,black/african american/negro,"25,000 to 49,999",associate degree,1
18,male,black/african american/negro,"25,000 to 49,999",highschool or less,1
18,male,black/african american/negro,"50,000 to 99,999",associate degree,1
18,male,black/african american/negro,"50,000 to 99,999",highschool or less,1
18,male,black/african american/negro,"less than 25,000",associate degree,1
18,male,black/african american/negro,"less than 25,000",highschool or less,1
18,male,american indian or alaska native,"100,000 to 149,999",highschool or less,1
18,male,american indian or alaska native,"25,000 to 49,999",highschool or less,1
18,male,american indian or alaska native,"50,000 to 99,999",associate degree,1
18,male,american indian or alaska native,"50,000 to 99,999",highschool or less,1
18,male,american indian or alaska native,"less than 25,000",associate degree,1
18,male,american indian or alaska native,"less than 25,000",highschool or less,1
18,male,chinese,"150,000 or more",highschool or less,1
18,male,chinese,"25,000 to 49,999",associate degree,1
18,male,chinese,"25,000 to 49,999",highschool or less,1
18,male,chinese,"50,000 to 99,999",highschool or less,1
18,male,chinese,"less than 25,000",associate degree,1
18,male,chinese,"less than 25,000",highschool or less,1
18,male,japanese,"50,000 to 99,999",highschool or less,1
18,male,japanese,"less than 25,000",associate degree,1
18,male,japanese,"less than 25,000",highschool or less,1
18,male,other asian or pacific islander,"100,000 to 149,999",highschool or less,1
18,male,other asian or pacific islander,"150,000 or more",highschool or less,1
18,male,other asian or pacific islander,"25,000 to 49,999",associate degree,1
18,male,other asian or pacific islander,"25,000 to 49,999",highschool or less,1
18,male,other asian or pacific islander,"50,000 to 99,999",highschool or less,1
18,male,other asian or pacific islander,"less than 25,000",associate degree,1
18,male,other asian or pacific islander,"less than 25,000",highschool or less,1
18,male,"other race, nec","100,000 to 149,999",highschool or less,1
18,male,"other race, nec","25,000 to 49,999",associate degree,1
18,male,"other race, nec","25,000 to 49,999",highschool or less,1
18,male,"other race, nec","50,000 to 99,999",highschool or less,1
18,male,"other race, nec","less than 25,000",associate degree,1
18,male,"other race, nec","less than 25,000",highschool or less,1
18,female,white,"100,000 to 149,999",highschool or less,1
18,female,white,"150,000 or more",associate degree,1
18,female,white,"150,000 or more",highschool or less,1
18,female,white,"25,000 to 49,999",associate degree,1
18,female,white,"25,000 to 49,999",highschool or less,1
18,female,white,"50,000 to 99,999",associate degree,1
18,female,white,"50,000 to 99,999",highschool or less,1
18,female,white,"less than 25,000",associate degree,1
18,female,white,"less than 25,000",highschool or less,1
18,female,black/african american/negro,"150,000 or more",highschool or less,1
