vote_2020,gender,race_ethnicity,household_income,education,age,vote_trump
Donald Trump,female,white,"50,000 to 99,999",associate degree,49,1
Donald Trump,female,white,"150,000 or more",bachelors degree,46,1
Donald Trump,female,white,"50,000 to 99,999",highschool or less,75,1
Donald Trump,female,white,"less than 25,000",highschool or less,52,1
Joe Biden,female,white,"50,000 to 99,999",associate degree,21,0
Joe Biden,female,black/african american/negro,"less than 25,000",associate degree,38,0
Donald Trump,female,white,"25,000 to 49,999",associate degree,69,1
Donald Trump,female,white,"100,000 to 149,999",bachelors degree,59,1
Donald Trump,female,white,"less than 25,000",bachelors degree,74,1
Joe Biden,female,white,"50,000 to 99,999",associate degree,55,0
Donald Trump,female,white,"less than 25,000",highschool or less,62,1
Joe Biden,female,white,"25,000 to 49,999",highschool or less,42,0
Joe Biden,female,white,"25,000 to 49,999",bachelors degree,81,0
Joe Biden,female,white,"25,000 to 49,999",associate degree,22,0
Donald Trump,male,white,"150,000 or more",bachelors degree,71,1
Joe Biden,male,white,"less than 25,000",bachelors degree,41,0
Donald Trump,female,white,"25,000 to 49,999",bachelors degree,71,1
Donald Trump,female,white,"50,000 to 99,999",bachelors degree,55,1
Joe Biden,male,white,"50,000 to 99,999",associate degree,68,0
Donald Trump,female,white,"50,000 to 99,999",associate degree,69,1
Donald Trump,female,white,"50,000 to 99,999",masters or above,33,1
Joe Biden,female,white,"50,000 to 99,999",bachelors degree,70,0
Donald Trump,female,white,"25,000 to 49,999",associate degree,32,1
Donald Trump,female,white,"100,000 to 149,999",associate degree,77,1
Donald Trump,female,white,"100,000 to 149,999",associate degree,65,1
Joe Biden,female,black/african american/negro,"less than 25,000",associate degree,22,0
Joe Biden,female,white,"50,000 to 99,999",masters or above,63,0
Joe Biden,male,white,"25,000 to 49,999",masters or above,79,0
Donald Trump,male,white,"50,000 to 99,999",associate degree,70,1
Joe Biden,female,white,"50,000 to 99,999",masters or above,54,0
Joe Biden,male,white,"25,000 to 49,999",associate degree,72,0
Donald Trump,female,white,"less than 25,000",highschool or less,40,1
Joe Biden,female,black/african american/negro,"50,000 to 99,999",bachelors degree,69,0
Joe Biden,male,white,"150,000 or more",bachelors degree,37,0
Joe Biden,female,white,"150,000 or more",masters or above,36,0
Joe Biden,female,white,"50,000 to 99,999",bachelors degree,40,0
Joe Biden,female,white,"50,000 to 99,999",bachelors degree,41,0
Joe Biden,female,white,"less than 25,000",highschool or less,30,0
Donald Trump,female,white,"less than 25,000",associate degree,72,1
Donald Trump,female,white,"25,000 to 49,999",bachelors degree,55,1
Joe Biden,female,black/african american/negro,"100,000 to 149,999",bachelors degree,80,0
Joe Biden,female,white,"50,000 to 99,999",associate degree,66,0
Donald Trump,female,white,"25,000 to 49,999",highschool or less,40,1
Donald Trump,male,other asian or pacific islander,"50,000 to 99,999",masters or above,31,1
Donald Trump,male,white,"50,000 to 99,999",masters or above,69,1
Joe Biden,female,chinese,"100,000 to 149,999",bachelors degree,31,0
Joe Biden,female,white,"50,000 to 99,999",masters or above,51,0
Donald Trump,female,white,"100,000 to 149,999",bachelors degree,78,1
Joe Biden,female,white,"50,000 to 99,999",highschool or less,58,0
Joe Biden,female,white,"150,000 or more",masters or above,19,0
Joe Biden,female,white,"50,000 to 99,999",associate degree,41,0
Joe Biden,male,white,"25,000 to 49,999",highschool or less,39,0
Donald Trump,female,white,"50,000 to 99,999",bachelors degree,63,1
Donald Trump,female,white,"25,000 to 49,999",associate degree,73,1
Donald Trump,female,white,"25,000 to 49,999",masters or above,38,1
Donald Trump,female,white,"25,000 to 49,999",associate degree,69,1
Donald Trump,female,white,"100,000 to 149,999",masters or above,61,1
Joe Biden,female,white,"less than 25,000",highschool or less,19,0
Donald Trump,female,white,"25,000 to 49,999",masters or above,54,1
Joe Biden,female,white,"150,000 or more",masters or above,70,0
Joe Biden,female,white,"25,000 to 49,999",bachelors degree,53,0
Donald Trump,female,white,"100,000 to 149,999",masters or above,52,1
Joe Biden,female,white,"50,000 to 99,999",masters or above,63,0
Joe Biden,female,white,"25,000 to 49,999",associate degree,63,0
Joe Biden,female,white,"50,000 to 99,999",associate degree,38,0
Joe Biden,female,white,"50,000 to 99,999",highschool or less,45,0
Donald Trump,female,white,"25,000 to 49,999",highschool or less,30,1
Joe Biden,female,white,"50,000 to 99,999",highschool or less,66,0
Joe Biden,female,chinese,"50,000 to 99,999",masters or above,40,0
Joe Biden,female,white,"50,000 to 99,999",masters or above,49,0
Donald Trump,female,white,"25,000 to 49,999",associate degree,57,1
Donald Trump,female,white,"50,000 to 99,999",bachelors degree,60,1
Joe Biden,female,white,"50,000 to 99,999",masters or above,68,0
Donald Trump,female,white,"50,000 to 99,999",highschool or less,58,1
Joe Biden,female,chinese,"50,000 to 99,999",bachelors degree,33,0
Donald Trump,female,white,"150,000 or more",associate degree,26,1
Donald Trump,female,white,"50,000 to 99,999",associate degree,76,1
Donald Trump,female,white,"25,000 to 49,999",highschool or less,38,1
Donald Trump,female,white,"100,000 to 149,999",masters or above,53,1
Joe Biden,female,white,"less than 25,000",associate degree,64,0
Donald Trump,male,white,"50,000 to 99,999",masters or above,49,1
Donald Trump,male,white,"50,000 to 99,999",associate degree,66,1
Donald Trump,female,white,"100,000 to 149,999",masters or above,56,1
Joe Biden,female,white,"50,000 to 99,999",bachelors degree,26,0
Donald Trump,female,white,"25,000 to 49,999",highschool or less,58,1
Joe Biden,female,white,"100,000 to 149,999",bachelors degree,72,0
Joe Biden,female,white,"50,000 to 99,999",masters or above,36,0
Joe Biden,male,white,"100,000 to 149,999",masters or above,70,0
Donald Trump,male,white,"25,000 to 49,999",associate degree,25,1
Joe Biden,female,white,"150,000 or more",masters or above,40,0
Donald Trump,male,white,"150,000 or more",masters or above,42,1
Joe Biden,male,black/african american/negro,"less than 25,000",highschool or less,26,0
Joe Biden,male,chinese,"less than 25,000",associate degree,45,0
Donald Trump,female,white,"25,000 to 49,999",associate degree,57,1
Donald Trump,female,white,"50,000 to 99,999",associate degree,55,1
Joe Biden,male,white,"50,000 to 99,999",associate degree,70,0
Joe Biden,female,white,"100,000 to 149,999",bachelors degree,55,0
